M,Torch (ms),Triton Uint32 (ms),Triton Uint8 (ms),Linear (ms),Compile (ms)
1.000000,0.141536,0.110752,0.095712,0.141088,0.141312
2.000000,0.154144,0.182944,0.116960,0.153920,0.154464
4.000000,0.155136,0.262336,0.138720,0.154656,0.155328
