M,Torch (ms),Triton Uint32 (ms),Triton Uint8 (ms),Linear (ms),Compile (ms)
1.000000,0.015840,0.026848,0.024800,0.015296,0.015968
2.000000,0.018336,0.027488,0.036608,0.018240,0.018336
4.000000,0.018432,0.027376,0.023936,0.018432,0.018432
